,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
2922,John Carter,tt0401729,movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi",both
2936,Johnny Tremain,tt0050567,movie,Johnny Tremain,Johnny Tremain,0,1957,\N,80,"Adventure,Family,History",both
2937,Jonas Brothers: The Concert Experience,tt1229827,movie,Jonas Brothers: The 3D Concert Experience,Jonas Brothers: The 3D Concert Experience,0,2009,\N,76,"Documentary,Music",both
2942,Jungle 2 Jungle,tt0119432,movie,Jungle 2 Jungle,Jungle 2 Jungle,0,1997,\N,105,"Comedy,Family",both
2944,Jungle Cat,tt0053977,movie,Jungle Cat,Jungle Cat,0,1960,\N,69,"Documentary,Family",both
2946,Jungle Cruise,tt0870154,movie,Jungle Cruise,Jungle Cruise,0,2021,\N,127,"Action,Adventure,Comedy",both
2962,Kidnapped,tt0053994,movie,Kidnapped,Kidnapped,0,1959,\N,97,"Action,Adventure,Drama",both
3135,King Of The Grizzlies,tt0065943,movie,King Of The Grizzlies,King of the Grizzlies,0,1970,\N,93,"Family,Western",both
3136,Lady And The Tramp,tt0048280,movie,Lady And The Tramp,Lady and the Tramp,0,1955,\N,76,"Adventure,Animation,Comedy",both
3147,Lady And The Tramp,tt8096832,movie,Lady And The Tramp,Lady and the Tramp,0,2019,\N,111,"Adventure,Comedy,Family",both
3160,Let It Shine,tt7932304,movie,Let It Shine,Let It Shine,0,2018,\N,98,Family,both
3164,Lightyear,tt10298810,movie,Lightyear,Lightyear,0,2022,\N,\N,"Action,Adventure,Animation",both
3165,Like Stars On Earth,tt0986264,movie,Like Stars On Earth,Taare Zameen Par,0,2007,\N,165,"Drama,Family",both
3167,Lilo & Stitch,tt0275847,movie,Lilo & Stitch,Lilo & Stitch,0,2002,\N,85,"Adventure,Animation,Comedy",both
3170,Lilo & Stitch,tt11655566,movie,Lilo & Stitch,Lilo & Stitch,0,2024,\N,85,"Action,Adventure,Comedy",both
3182,"Lt. Robin Crusoe, U.S.N.",tt0060640,movie,"Lt. Robin Crusoe, U.S.N.","Lt. Robin Crusoe, U.S.N.",0,1966,\N,110,"Adventure,Comedy,Family",both
3188,Luca,tt12801262,movie,Luca,Luca,0,2021,\N,95,"Adventure,Animation,Comedy",both
3210,Make Mine Music,tt0038718,movie,Make Mine Music,Make Mine Music,0,1946,\N,75,"Adventure,Animation,Comedy",both
3220,Maleficent,tt1587310,movie,Maleficent,Maleficent,0,2014,\N,97,"Adventure,Family,Fantasy",both
3238,Maleficent: Mistress Of Evil,tt4777008,movie,Maleficent: Mistress Of Evil,Maleficent: Mistress of Evil,0,2019,\N,119,"Adventure,Family,Fantasy",both
3240,Man Of The House,tt0113755,movie,Man Of The House,Man of the House,0,1995,\N,96,"Comedy,Family",both
3276,Mars Needs Moms,tt1305591,movie,Mars Needs Moms,Mars Needs Moms,0,2010,\N,88,"Action,Adventure,Animation",both
3283,Marvel Studios' Doctor Strange,tt1211837,movie,Doctor Strange,Doctor Strange,0,2016,\N,115,"Action,Adventure,Fantasy",both
3285,Marvel'S Avengers: Age Of Ultron,tt2395427,movie,Avengers: Age Of Ultron,Avengers: Age of Ultron,0,2015,\N,141,"Action,Adventure,Sci-Fi",both
3286,Marvel'S Captain America: Winter Soldier,tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,2014,\N,136,"Action,Adventure,Sci-Fi",both
3290,Marvel'S Iron Man 3,tt1300854,movie,Iron Man 3,Iron Man Three,0,2013,\N,130,"Action,Adventure,Sci-Fi",both
3291,Mary Poppins,tt0058331,movie,Mary Poppins,Mary Poppins,0,1964,\N,139,"Comedy,Family,Fantasy",both
