,nconst,director,primaryName,birthYear,tconst,category
389,nm0000709,director,Robert Zemeckis,1951,tt0166002,director
390,nm0000709,director,Robert Zemeckis,1951,tt0212717,director
391,nm0000709,director,Robert Zemeckis,1951,tt0338348,director
392,nm0000709,director,Robert Zemeckis,1951,tt0442933,director
393,nm0000709,director,Robert Zemeckis,1951,tt0511097,director
394,nm0000709,director,Robert Zemeckis,1951,tt0616699,director
395,nm0000709,director,Robert Zemeckis,1951,tt0716825,director
396,nm0000709,director,Robert Zemeckis,1951,tt0716911,director
397,nm0000709,director,Robert Zemeckis,1951,tt0716912,director
398,nm0000709,director,Robert Zemeckis,1951,tt0805647,director
399,nm0000709,director,Robert Zemeckis,1951,tt0814214,director
400,nm0000709,director,Robert Zemeckis,1951,tt1067106,director
401,nm0000709,director,Robert Zemeckis,1951,tt18272208,director
402,nm0000709,director,Robert Zemeckis,1951,tt1907668,director
403,nm0000709,director,Robert Zemeckis,1951,tt3289724,director
404,nm0000709,director,Robert Zemeckis,1951,tt3488710,director
405,nm0000709,director,Robert Zemeckis,1951,tt3640424,director
406,nm0000709,director,Robert Zemeckis,1951,tt4593060,director
407,nm0000709,director,Robert Zemeckis,1951,tt5162276,director
408,nm0000709,director,Robert Zemeckis,1951,tt5304988,director
409,nm0000709,director,Robert Zemeckis,1951,tt7278004,director
410,nm0000709,director,Robert Zemeckis,1951,tt7763324,director
411,nm0000709,director,Robert Zemeckis,1951,tt8917520,director
412,nm0000948,director,Shane Black,1961,tt0373469,director
413,nm0000948,director,Shane Black,1961,tt1297469,director
414,nm0000948,director,Shane Black,1961,tt1300854,director
415,nm0000948,director,Shane Black,1961,tt1606752,director
416,nm0000948,director,Shane Black,1961,tt18392014,director
417,nm0000948,director,Shane Black,1961,tt2082453,director
418,nm0000948,director,Shane Black,1961,tt3799694,director
419,nm0000948,director,Shane Black,1961,tt3829266,director
420,nm0000948,director,Shane Black,1961,tt4687906,director
421,nm0001060,director,Chris Columbus,1958,tt0092513,director
422,nm0001060,director,Chris Columbus,1958,tt0095288,director
423,nm0001060,director,Chris Columbus,1958,tt0099785,director
424,nm0001060,director,Chris Columbus,1958,tt0102598,director
425,nm0001060,director,Chris Columbus,1958,tt0104431,director
426,nm0001060,director,Chris Columbus,1958,tt0107614,director
427,nm0001060,director,Chris Columbus,1958,tt0113986,director
428,nm0001060,director,Chris Columbus,1958,tt0120686,director
429,nm0001060,director,Chris Columbus,1958,tt0182789,director
430,nm0001060,director,Chris Columbus,1958,tt0241527,director
431,nm0001060,director,Chris Columbus,1958,tt0294870,director
432,nm0001060,director,Chris Columbus,1958,tt0295297,director
433,nm0001060,director,Chris Columbus,1958,tt0429478,director
434,nm0001060,director,Chris Columbus,1958,tt0814255,director
435,nm0001060,director,Chris Columbus,1958,tt0976057,director
436,nm0001060,director,Chris Columbus,1958,tt1032815,director
437,nm0001060,director,Chris Columbus,1958,tt11057644,director
438,nm0001060,director,Chris Columbus,1958,tt1848925,director
439,nm0001060,director,Chris Columbus,1958,tt2120120,director
440,nm0001060,director,Chris Columbus,1958,tt2287635,director
441,nm0001060,director,Chris Columbus,1958,tt2343559,director
442,nm0001060,director,Chris Columbus,1958,tt3960882,director
443,nm0001060,director,Chris Columbus,1958,tt4590700,director
444,nm0001060,director,Chris Columbus,1958,tt8936944,director
445,nm0001112,director,Andrew Davis,1946,tt0078324,director
446,nm0001112,director,Andrew Davis,1946,tt0082379,director
447,nm0001112,director,Andrew Davis,1946,tt0088936,director
448,nm0001112,director,Andrew Davis,1946,tt0094602,director
449,nm0001112,director,Andrew Davis,1946,tt0098051,director
450,nm0001112,director,Andrew Davis,1946,tt0105690,director
451,nm0001112,director,Andrew Davis,1946,tt0106977,director
452,nm0001112,director,Andrew Davis,1946,tt0114536,director
