,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
59011,tt0323169,movie,Mamushi no kyôdai: Shôgai kyôkatsu jûhappan,1972,88,"Action,Crime"
59012,tt0366748,movie,Mama no nikki,1954,\N,Drama
59013,tt1294996,movie,Harry and His Geisha Girls,1978,82,Comedy
59016,tt1995321,movie,Hashi no nai kawa 2,1970,140,Drama
59017,tt6559432,movie,Kêdamonô no torû michi,1959,\N,"Action,Crime"
59018,tt6581870,movie,Gokkiburi butai,1966,\N,Crime
59019,tt6678122,movie,Nihon ankokushi: Chi no kôsô,1967,90,Crime
59020,tt7112900,movie,Hiko shonen,1965,86,"Action,Crime,Drama"
59021,tt7219482,movie,Mêhyu to narazû mono,1957,89,"Action,Crime"
59022,tt7485010,movie,Nihon saidai no kaoyaku,1970,88,"Action,Crime"
59023,tt8772378,movie,"Nake, Nihon kokumin: Saigo no sentôki",1956,90,"Adventure,War"
59024,tt0015044,movie,Comedians,1925,\N,\N
59025,tt0015458,movie,Das verbotene Land,1924,\N,\N
59026,tt0021619,movie,Poor as a Church Mouse,1931,101,"Comedy,Musical,Romance"
59027,tt0021677,movie,Storm in a Water Glass,1931,92,Comedy
59028,tt0023425,movie,A Girl of the Street,1932,86,Comedy
59029,tt0024169,movie,Ich und die Kaiserin,1933,82,Comedy
59030,tt0024252,movie,Playing at Love,1933,88,"Drama,Romance"
59031,tt0024417,movie,The Only Girl,1933,89,Musical
59032,tt0025952,movie,Suburban Cabaret,1935,93,"Drama,Musical"
59033,tt0050837,movie,Perri,1957,75,"Adventure,Family,Fantasy"
59034,tt0065918,movie,Sensational Janine,1970,89,Comedy
59035,tt0067279,movie,Josefine Mutzenbacher II - Meine 365 Liebhaber,1971,82,Drama
59036,tt0068237,movie,Auch Fummeln will gelernt sein,1972,81,Comedy
59037,tt0078840,movie,Josephine,1978,94,Adult
59038,tt0082037,movie,Aus dem Tagebuch der Josefine Mutzenbacher,1981,93,"Adult,Comedy"
59039,tt0089021,movie,Bambi's Childhood,1985,79,Family
59040,tt0091302,movie,Josefine Mutzenbacher - Wie sie wirklich war: 2. Teil,1976,100,"Adult,Comedy"
59041,tt0092275,movie,Bambi's Youth,1987,68,"Family,Fantasy"
59042,tt0128382,movie,En opstandelse,1915,\N,\N
59043,tt0133721,movie,Dr. Schotte,1918,\N,\N
59044,tt0133733,movie,Der eiserne Wille,1917,\N,Drama
59045,tt0134184,movie,Urteil des Arztes,1914,\N,\N
59046,tt0141365,movie,Insatiable Janine,1982,82,Adult
59047,tt0145909,movie,Moi et l'impératrice,1933,98,Comedy
59048,tt0159067,movie,Un peu d'amour,1932,\N,Comedy
59049,tt0165823,movie,Moderne Ehen,1924,\N,Comedy
59050,tt0195112,movie,Olga Frohgemut,1921,\N,\N
59051,tt0294658,movie,Sensational Janine,1976,94,"Adult,Comedy"
59052,tt0413421,movie,Die kleine Veronika,1929,70,Romance
59054,tt0444644,movie,Herztrumpf,1920,\N,\N
59056,tt0450139,movie,Der Shylock von Krakau,1913,\N,Drama
59057,tt0451906,movie,Schwere Jungs - leichte Mädchen,1927,\N,Comedy
59065,tt1665984,movie,Der Türmer von St. Stephen,1923,\N,\N
59067,tt7332950,movie,Die Glücksschmiede,1916,\N,Drama
59070,tt0049967,movie,X the Unknown,1956,81,"Horror,Sci-Fi"
59071,tt0050280,movie,The Curse of Frankenstein,1957,82,"Horror,Sci-Fi,Thriller"
59072,tt0050894,movie,The Revenge of Frankenstein,1958,90,"Horror,Sci-Fi"
59073,tt0051422,movie,Blood of the Vampire,1958,87,"Horror,Sci-Fi"
59074,tt0051554,movie,Horror of Dracula,1958,82,"Drama,Horror"
59075,tt0051781,movie,Intent to Kill,1958,88,"Crime,Drama,Thriller"
59076,tt0052207,movie,The Snorkel,1958,90,"Crime,Horror,Mystery"
59077,tt0052320,movie,The Crawling Eye,1958,84,"Horror,Sci-Fi"
59078,tt0053041,movie,The Man Who Could Cheat Death,1959,83,"Drama,Horror,Sci-Fi"
59079,tt0053085,movie,The Mummy,1959,86,"Adventure,Horror"
59080,tt0053677,movie,The Brides of Dracula,1960,85,Horror
59081,tt0053740,movie,The Concrete Jungle,1960,97,"Crime,Drama,Thriller"
59082,tt0053903,movie,The Hellfire Club,1961,94,Adventure
59083,tt0053961,movie,Jack the Ripper,1959,84,"Crime,History,Horror"
59084,tt0054306,movie,The Siege of Sidney Street,1960,93,Drama
59085,tt0055505,movie,Scream of Fear,1961,81,"Horror,Thriller"
59086,tt0055516,movie,The Terror of the Tongs,1961,76,"Action,Adventure"
59087,tt0056219,movie,Maniac,1963,86,"Crime,Horror,Mystery"
59088,tt0056350,movie,The Pirates of Blood River,1962,87,"Action,Adventure,Drama"
59089,tt0057401,movie,Paranoiac,1963,80,"Drama,Horror,Mystery"
59090,tt0058011,movie,The Devil-Ship Pirates,1964,86,"Action,Adventure,Thriller"
59092,tt0058216,movie,Hysteria,1965,85,"Crime,Mystery,Thriller"
59093,tt0058405,movie,Nightmare,1964,83,"Horror,Mystery,Thriller"
59094,tt0058718,movie,Das Verrätertor,1964,87,"Crime,Drama"
59095,tt0059127,movie,Dracula: Prince of Darkness,1966,90,Horror
59096,tt0059496,movie,The Nanny,1965,91,"Mystery,Thriller"
59097,tt0060288,movie,Deadlier Than the Male,1967,101,"Adventure,Crime,Drama"
59098,tt0062671,movie,The Anniversary,1968,95,"Comedy,Drama,Thriller"
59099,tt0064188,movie,Crescendo,1970,96,"Horror,Thriller"
59103,tt0067983,movie,Whoever Slew Auntie Roo?,1972,91,"Horror,Thriller"
59109,tt0079450,movie,The Legacy,1978,102,Horror
59113,tt0081334,movie,Phobia,1980,94,"Drama,Horror,Thriller"
59118,tt0239406,movie,Flashback,2000,95,"Horror,Mystery,Thriller"
59161,tt1729240,movie,To Have and to Hold,1963,71,Drama
59167,tt8024684,movie,Face of a Stranger,1964,53,"Drama,Mystery"
59171,tt0073328,movie,Mackintosh and T.J.,1975,96,"Drama,Western"
59173,tt0084132,movie,Inchon,1981,140,"Drama,History,War"
59414,tt0097165,movie,Dead Poets Society,1989,128,"Comedy,Drama"
59415,tt0098276,movie,Second Sight,1989,83,"Comedy,Mystery,Sci-Fi"
59416,tt0103241,movie,What About Bob?,1991,99,Comedy
59421,tt11250862,movie,Road Scholar,\N,\N,Drama
59427,tt0064107,movie,A Boy Named Charlie Brown,1969,86,"Animation,Comedy,Drama"
59431,tt0069289,movie,Snoopy Come Home,1972,81,"Adventure,Animation,Comedy"
59440,tt0076591,movie,"Race for Your Life, Charlie Brown",1977,76,"Adventure,Animation,Comedy"
59443,tt0080461,movie,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,75,"Adventure,Animation,Comedy"
59526,tt4885182,movie,"You're a Good Man, Charlie Brown",2015,70,Musical
59540,tt0003022,movie,Ivanhoe,1913,53,"Adventure,Drama,Romance"
59541,tt0004834,movie,A Woman's Triumph,1914,\N,Drama
59542,tt0014408,movie,Richard the Lion-Hearted,1923,80,Drama
59543,tt0015520,movie,Young Lochinvar,1923,\N,Adventure
59544,tt0021043,movie,The Lady of the Lake,1928,52,"Drama,Romance"
59545,tt0038707,movie,Lucia di Lammermoor,1946,108,Musical
59546,tt0044760,movie,Ivanhoe,1952,106,"Adventure,Drama,Romance"
59547,tt0047150,movie,King Richard and the Crusaders,1954,109,"Adventure,Family,History"
59548,tt0048528,movie,Quentin Durward,1955,103,"Action,Adventure,History"
59550,tt0105257,movie,Richard Lvinoe Serdtse,1992,92,"Adventure,History,War"
59551,tt0108016,movie,Rytsar Kennet,1993,67,"Adventure,History,War"
59554,tt0168978,movie,Lucia,1998,97,"Drama,Mystery"
59555,tt0174137,movie,"Priklyucheniya Kventina Dorvarda, strelka korolevskoy gvardii",1988,97,"Adventure,History"
59557,tt0231704,movie,The Heart of Midlothian,1914,47,Drama
59558,tt0251602,movie,The Ballad of the Valiant Knight Ivanhoe,1983,92,"Adventure,Romance"
59567,tt0325341,movie,The Fair Maid of Perth,1923,\N,Adventure
59568,tt0342587,movie,Rebecca the Jewess,1913,\N,Drama
59570,tt0366732,movie,Lucia di Lammermoor,1971,103,"Drama,Musical"
59662,tt13039378,movie,La donna del lago,2013,200,Music
59699,tt1837580,movie,Ivanhoe,\N,\N,Drama
59730,tt6343340,movie,West of the West: Tales from California's Channel Islands,2016,60,Documentary
59744,tt1226229,movie,Get Him to the Greek,2010,109,"Comedy,Music"
59745,tt2473680,movie,The Other F Word,\N,\N,Comedy
59748,tt0413964,movie,Domino,1973,59,Family
59749,tt0994856,movie,Mustang-inokhodets,1976,72,Family
59751,tt12731900,movie,Lobo,1979,73,Family
59754,tt0038419,movie,Cluny Brown,1946,100,"Comedy,Romance,War"
59755,tt0041382,movie,The Forbidden Street,1949,90,"Drama,Romance"
59756,tt0056289,movie,The Notorious Landlady,1962,123,"Comedy,Mystery"
59825,tt0059095,movie,The 10th Victim,1965,92,"Action,Comedy,Romance"
59826,tt0059155,movie,Escape from Hell Island,1963,80,Thriller
59827,tt0061701,movie,Dead Run,1967,92,"Drama,Thriller"
59829,tt0084540,movie,The Prize of Peril,1983,98,"Action,Drama,Sci-Fi"
59830,tt0104299,movie,Freejack,1992,110,"Action,Crime,Sci-Fi"
59834,tt0480600,movie,The Utilizer,1996,\N,Sci-Fi
59839,tt12579470,movie,Robots,\N,\N,"Comedy,Romance,Sci-Fi"
59841,tt4899560,movie,Mindswap,\N,\N,Sci-Fi
59847,tt1325029,movie,Measle and the Wrathmonk,\N,\N,Comedy
59848,tt1714920,movie,We Are Family,2012,100,Comedy
59849,tt6854496,movie,Untitled Familia P. Luche Movie,\N,\N,Animation
59850,tt0082763,movie,Modern Problems,1981,93,"Comedy,Fantasy,Sci-Fi"
59854,tt0077621,movie,Goin' South,1978,105,"Comedy,Romance,Western"
59855,tt0077699,movie,House Calls,1978,98,"Comedy,Drama,Romance"
59856,tt0101625,movie,Once Upon a Crime...,1992,94,"Comedy,Crime,Mystery"
59864,tt7038762,movie,Best. Christmas. Ever.,\N,\N,Comedy
59865,tt0118894,movie,Cousin Bette,1998,108,"Comedy,Drama,Romance"
59869,tt0104389,movie,The Hand that Rocks the Cradle,1992,110,"Drama,Thriller"
59871,tt0298203,movie,8 Mile,2002,110,"Drama,Music"
59872,tt0964517,movie,The Fighter,2010,116,"Action,Biography,Drama"
59873,tt1365057,movie,Samson,\N,\N,"Adventure,Drama,Sci-Fi"
59874,tt1496028,movie,Untitled Jimi Hendrix Project,\N,\N,"Biography,Music"
59875,tt2177759,movie,The Fighter 2,\N,\N,Drama
59876,tt3139884,movie,Noble Assassin,\N,\N,"Drama,Thriller"
59877,tt7286456,movie,Joker,2019,122,"Crime,Drama,Thriller"
59878,tt9817210,movie,Untitled Hulk Hogan Biopic,\N,\N,"Biography,Drama,Sport"
59911,tt0996979,movie,Alien Raiders,2008,85,"Action,Horror,Sci-Fi"
59928,tt0004182,movie,The Jungle,1914,\N,Drama
59929,tt0007614,movie,The Adventurer,1917,50,Drama
59930,tt0011475,movie,The Money Changers,1920,60,\N
59931,tt0023685,movie,The Wet Parade,1932,118,"Drama,History,Romance"
59932,tt0028754,movie,Damaged Goods,1937,56,Drama
59933,tt0241412,movie,Az elítélt,1917,\N,\N
59934,tt0241647,movie,Kutató Sámuel,1919,\N,Drama
59935,tt0336299,movie,Jimmie Higgins,1928,70,Drama
59936,tt0469494,movie,There Will Be Blood,2007,158,Drama
59937,tt11823258,movie,Maiden No More,\N,\N,Drama
59938,tt2262257,movie,The Jungle,\N,\N,Drama
60095,tt0107478,movie,Made in America,1993,111,Comedy
60096,tt0305396,movie,The Crocodile Hunter: Collision Course,2002,90,"Action,Adventure,Comedy"
60098,tt3917778,movie,Counting by 7s,\N,\N,Drama
60100,tt6148766,movie,Pure Country Pure Heart,2017,84,"Drama,Music"
60101,tt0024848,movie,Autumn Crocus,1934,86,"Drama,Romance"
60102,tt0028679,movie,Call It a Day,1937,90,Comedy
60103,tt0037415,movie,The Uninvited,1944,99,"Fantasy,Horror,Mystery"
60104,tt0039040,movie,To Each His Own,1946,122,"Drama,Romance"
60105,tt0049183,movie,Der erste Frühlingstag,1956,92,Comedy
60187,tt0347755,movie,Peaches,2004,109,Drama
60218,tt7853110,movie,No Man is an Island,\N,\N,Drama
60234,tt0105477,movie,Stop! Or My Mom Will Shoot,1992,87,"Action,Comedy"
60241,tt11207240,movie,Rock Dog 2: Rock Around the Park,2021,90,"Adventure,Animation,Comedy"
60242,tt11541324,movie,A Most Beautiful Thing,2020,95,Documentary
60243,tt13078824,movie,Rymdresan,2020,74,"Adventure,Comedy,Family"
60247,tt6398054,movie,I am Jane Doe,2017,91,Documentary
60248,tt7892450,movie,Magic Arch 3D,2020,82,"Animation,Family,Fantasy"
60249,tt8787396,movie,The All-Stars,\N,\N,\N
60250,tt9434836,movie,Norm of the North: Family Vacation,2020,90,"Adventure,Animation,Comedy"
60251,tt0109959,movie,Gunmen,1993,94,"Action,Comedy,Crime"
60253,tt0277296,movie,The Scorpion King,2002,92,"Action,Adventure,Fantasy"
60263,tt0375560,movie,Art Heist,2004,98,"Action,Crime,Thriller"
60264,tt0815890,movie,The Blue Elephant,2006,88,"Adventure,Animation,Family"
60266,tt0858486,movie,Battle for Terra,2007,90,"Action,Adventure,Animation"
60267,tt1267297,movie,Hercules,2014,98,"Action,Adventure,Fantasy"
60268,tt1468290,movie,Asteroids,\N,\N,Action
60269,tt15660614,movie,Untitled David Gordon Green/Cavalry Media Project,\N,\N,"Documentary,History"
60270,tt5033998,movie,Charlie's Angels,2019,118,"Action,Adventure,Comedy"
60271,tt5580558,movie,Jane Steele,\N,\N,Drama
60272,tt7322204,movie,Untitled Genghis Khan Project,\N,\N,"Action,Adventure"
60273,tt7820302,movie,Bright 2,\N,\N,"Action,Adventure,Crime"
60274,tt7830834,movie,Stillwater,\N,\N,"Sci-Fi,Thriller"
60275,tt7923128,movie,Tempted,\N,\N,Action
60276,tt8404256,movie,Snake Eyes,2021,121,"Action,Adventure,Fantasy"
60292,tt0023379,movie,Der Rebell,1932,82,Drama
60293,tt0023643,movie,Die unsichtbare Front,1933,85,Drama
60294,tt0024362,movie,Mother and Child,1934,121,\N
60295,tt0024369,movie,Mädels von heute,1933,\N,\N
60296,tt0024493,movie,The Growing Youth,1933,115,Drama
60297,tt0024531,movie,Die schönen Tage von Aranjuez,1933,101,Comedy
60298,tt0025355,movie,Krach um Jolanthe,1934,99,"Comedy,Romance"
60299,tt0025403,movie,The Lucky Diamond,1933,87,Drama
60300,tt0025583,movie,Oberwachtmeister Schwenke,1935,90,\N
60301,tt0026517,movie,Ich war Jack Mortimer,1935,85,"Drama,Thriller"
60302,tt0026564,movie,Carnival in Flanders,1935,110,"Comedy,History,Romance"
60303,tt0026577,movie,Die klugen Frauen,1936,\N,\N
60304,tt0027171,movie,Viktoria,1935,91,Drama
60305,tt0027515,movie,Desire,1936,95,"Comedy,Crime,Romance"
60306,tt0027683,movie,Glückskinder,1936,93,Comedy
60307,tt0028406,movie,Traumulus,1936,100,Drama
60308,tt0029210,movie,Two Merry Adventurers,1937,116,"Comedy,Crime,Romance"
60309,tt0034076,movie,"Quax, der Bruchpilot",1941,92,Comedy
60310,tt0040079,movie,The Affair Blum,1948,109,"Crime,Drama"
60311,tt0040953,movie,Wege im Zwielicht,1948,90,Drama
60312,tt0041174,movie,The Beaver Coat,1949,97,"Comedy,Crime"
60313,tt0041564,movie,Die Kuckucks,1949,93,\N
60314,tt0042437,movie,Epilogue,1950,91,"Crime,Drama"
60315,tt0050362,movie,Es wird alles wieder gut,1957,100,"Comedy,Musical"
60316,tt0051333,movie,...und abends in die Scala,1958,94,"Musical,Romance"
60317,tt0051652,movie,"Confess, Dr. Corda",1958,93,"Crime,Drama"
60318,tt0052947,movie,Jons und Erdme,1959,112,Drama
60319,tt0054007,movie,The High Life,1960,98,Drama
60320,tt0054025,movie,The Last Witness,1960,102,Crime
60321,tt0054074,movie,My School Chum,1960,94,"Comedy,Drama"
60322,tt0055429,movie,Die seltsame Gräfin,1961,95,"Adventure,Crime"
60323,tt0056573,movie,The Terror of Doctor Mabuse,1962,88,"Crime,Horror,Mystery"
60324,tt0057138,movie,The Mad Executioners,1963,94,"Crime,Horror"
60325,tt0057380,movie,Old Shatterhand,1964,122,"Adventure,Western"
60326,tt0058161,movie,The Curse of the Hidden Vault,1964,90,"Crime,Drama"
60327,tt0058706,movie,Das Ungeheuer von London-City,1964,90,"Crime,Horror"
60328,tt0059621,movie,Pyramid of the Sun God,1965,102,"Adventure,Western"
60329,tt0059682,movie,Treasure of the Aztecs,1965,101,"Adventure,Western"
60330,tt0129793,movie,Das Blumenmädchen vom Grand-Hotel,1934,80,Drama
60331,tt0136549,movie,Unter den tausend Laternen,1952,94,Crime
60332,tt0139231,movie,Les gais lurons,1936,\N,Comedy
60333,tt0147823,movie,Goodbye Beautiful Days,1933,96,Comedy
60335,tt0447386,movie,The Rebel,1933,77,"Action,Drama"
60341,tt0009084,movie,For Husbands Only,1918,60,"Comedy,Drama"
60342,tt0027954,movie,Men Are Not Gods,1936,90,Drama
60343,tt0039999,movie,The Woman in the Hall,1947,93,Drama
60377,tt0760309,movie,Don't Send Help,\N,\N,Comedy
60383,tt1948223,movie,Yogi Bear 2,\N,\N,"Animation,Comedy,Family"
60506,tt2355786,movie,The Rocketeers,\N,\N,"Action,Adventure,Sci-Fi"
60507,tt0020937,movie,Latin Love,1930,85,"Musical,Romance"
60508,tt0021708,movie,Bachelor's Folly,1931,80,Drama
60509,tt0022209,movie,A Night in Montmartre,1931,69,Mystery
60510,tt0022451,movie,The Office Girl,1931,80,"Comedy,Musical"
60511,tt0022872,movie,Faithful Hearts,1932,83,"Drama,Romance"
60512,tt0023148,movie,Lord Babs,1932,77,Musical
60513,tt0023160,movie,Love on Wheels,1932,86,Musical
60514,tt0023404,movie,The Gaunt Stranger,1931,75,Thriller
60515,tt0023974,movie,Early to Bed,1933,83,Musical
60516,tt0023996,movie,F. P. 1 Doesn't Answer,1932,93,"Fantasy,Sci-Fi"
60517,tt0025892,movie,Thunder in the East,1934,83,"Drama,Romance,War"
60518,tt0029375,movie,Gaiety Girls,1937,77,"Comedy,Music"
60519,tt0032313,movie,The Frightened Lady,1940,81,"Crime,Drama,Mystery"
60527,tt0004656,movie,The Suicide Club,1914,\N,Drama
60528,tt0007740,movie,The Bottle Imp,1917,50,"Drama,Fantasy"
60529,tt0008159,movie,Kidnapped,1917,\N,"Adventure,Drama"
60530,tt0009721,movie,Treasure Island,1917,60,Adventure
60531,tt0010821,movie,Eerie Tales,1919,112,"Fantasy,Horror,Mystery"
60532,tt0011130,movie,Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi"
60534,tt0011348,movie,The Head of Janus,1920,107,Horror
60535,tt0011785,movie,Treasure Island,1920,76,Adventure
60536,tt0011859,movie,The White Circle,1920,50,Drama
60537,tt0013095,movie,Ebb Tide,1922,80,"Adventure,Drama"
60538,tt0022835,movie,Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi"
60539,tt0023640,movie,The Living Dead,1932,89,"Comedy,Horror,Sci-Fi"
60540,tt0025389,movie,"Liebe, Tod und Teufel",1934,105,Drama
60541,tt0025907,movie,Treasure Island,1934,110,"Adventure,Family"
60542,tt0028416,movie,Trouble for Two,1936,75,"Comedy,Drama,Mystery"
60543,tt0028817,movie,Ebb Tide,1937,94,"Adventure,Drama,Romance"
60544,tt0029356,movie,Treasure Island,1938,92,Adventure
60545,tt0033553,movie,Dr. Jekyll and Mr. Hyde,1941,113,"Drama,Horror,Sci-Fi"
60546,tt0037549,movie,The Body Snatcher,1945,78,"Horror,Thriller"
60547,tt0038445,movie,The Lady of Death,1946,80,"Drama,Mystery,Thriller"
60548,tt0039133,movie,Adventure Island,1947,66,"Action,Adventure,Comedy"
60550,tt0040074,movie,Adventures in Silverado,1948,75,Western
60551,tt0040166,movie,The Black Arrow,1948,76,"Action,Adventure,History"
60552,tt0041856,movie,The Secret of St. Ives,1949,75,"Action,Adventure,History"
60553,tt0043515,movie,The Strange Case of the Man and the Beast,1951,80,"Horror,Sci-Fi"
60554,tt0044078,movie,The Strange Door,1951,81,"Horror,Thriller"
60555,tt0044144,movie,The Treasure of Lost Canyon,1952,82,Western
60556,tt0046054,movie,The Master of Ballantrae,1953,90,"Action,Adventure,History"
60557,tt0047406,movie,Return to Treasure Island,1954,75,"Adventure,Family"
60560,tt0054416,movie,The Two Faces of Dr. Jekyll,1960,88,Horror
60562,tt0061204,movie,The Wrong Box,1966,105,"Comedy,Crime"
60563,tt0063567,movie,Schüsse unterm Galgen,1968,107,Western
60564,tt0067002,movie,Animal Treasure Island,1971,78,"Action,Adventure,Animation"
60565,tt0068172,movie,The Adult Version of Jekyll & Hide,1972,92,"Horror,Sci-Fi"
60566,tt0068727,movie,"I, Monster",1971,75,Horror
60567,tt0068911,movie,The Man with Two Heads,1972,80,"Horror,Sci-Fi"
60568,tt0069256,movie,El señor de Osanto,1974,108,"Drama,History,War"
60570,tt0079068,movie,Dr. Jekyll Likes Them Hot,1979,107,Comedy
60573,tt0082272,movie,The Strange Case of Dr. Jekyll and Miss Osbourne,1981,91,"Horror,Sci-Fi"
60574,tt0084171,movie,Jekyll and Hyde... Together Again,1982,87,"Comedy,Music,Sci-Fi"
60577,tt0088921,movie,The Black Arrow,1985,91,"Adventure,History,War"
60578,tt0090086,movie,The Strange Case of Dr. Jekyll and Mr. Hyde,1986,92,"Mystery,Sci-Fi"
60579,tt0090199,movie,Treasure Island,1986,115,"Adventure,Fantasy"
60580,tt0093381,movie,El lago de las vírgenes,1982,88,Adventure
60581,tt0096186,movie,The Suicide Club,1988,92,"Drama,Thriller"
60582,tt0097263,movie,Edge of Sanity,1989,85,"Horror,Thriller"
60583,tt0097999,movie,Nocny gosc,1989,83,"Biography,Drama,History"
60587,tt0112895,movie,Dr. Jekyll and Ms. Hyde,1995,100,"Comedy,Romance,Sci-Fi"
60589,tt0117034,movie,Mi nombre es sombra,1996,90,Drama
60590,tt0122227,movie,Treasure Island Part II: Captain Flint's Treasure,1989,59,"Adventure,Animation,Comedy"
60591,tt0125275,movie,The Jekyll and Hyde Portfolio,1971,81,"Horror,Mystery"
60594,tt0144622,movie,St. Ives,1998,90,"Drama,Romance"
60599,tt0165229,movie,Le diable en bouteille,1935,95,Drama
60600,tt0167326,movie,Treasure Island,1972,82,Adventure
60601,tt0168208,movie,The Tame Cat,1921,\N,\N
60603,tt0174303,movie,The Ugly Duckling,1959,84,"Comedy,Crime,Sci-Fi"
60604,tt0183639,movie,The Pavilion,2000,94,"Drama,Western"
60605,tt0191396,movie,Le reflux,1965,76,Adventure
60608,tt0201269,movie,O Trapalhão na Ilha do Tesouro,1975,96,"Adventure,Comedy,Family"
60609,tt0204260,movie,Dentro la casa della vecchia signora,1973,76,Drama
60614,tt0248568,movie,Treasure Island,1999,94,"Adventure,Family"
60615,tt0249172,movie,The Suicide Club,2000,89,Drama
60617,tt0255299,movie,Karutha Rathrikal,1967,\N,\N
60619,tt0257761,movie,The Man and the Beast,1973,85,"Action,Drama,Horror"
60622,tt0280371,movie,Treasure Island,1973,87,"Adventure,Animation,Comedy"
60625,tt0310900,movie,El club de los suicidas,1970,98,Thriller
60626,tt0319438,movie,El gaucho y el diablo,1952,83,"Drama,Western"
60627,tt0324474,movie,Vrak,1984,95,Adventure
60632,tt0360887,movie,The Treasure Planet,1982,72,"Adventure,Animation,Fantasy"
60634,tt0367595,movie,Chehre Pe Chehra,1981,140,"Drama,Horror,Romance"
60636,tt0385664,movie,The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,2003,91,"Comedy,Horror,Musical"
60637,tt0393394,movie,Jekyll,2007,96,"Horror,Sci-Fi,Thriller"
60641,tt0426064,movie,Kidnapped,1986,55,"Action,Adventure,Animation"
60646,tt0472186,movie,The Strange Case of Dr. Jekyll and Mr. Hyde,2006,89,"Horror,Sci-Fi"
60648,tt0499435,movie,Treasured Island,2007,100,"Adventure,Comedy"
60688,tt0811011,movie,Pirates of Treasure Island,2006,85,"Action,Adventure"
60692,tt0893548,movie,Treasure Island,2007,186,Adventure
60695,tt0926056,movie,El club de los suicidas,2007,100,"Comedy,Drama"
60698,tt0982848,movie,Au fil de l'eau,1996,84,Documentary
60699,tt10261964,movie,Jekyll vs. Hyde,2022,\N,Horror
60712,tt11013434,movie,Antoinette dans les Cévennes,2020,97,"Adventure,Comedy,Romance"
60751,tt1312217,movie,Dr. Jekyll and Mr. Hyde,\N,\N,Horror
60827,tt14525458,movie,The Mysterious Tale of Edward Hyde,\N,\N,"Drama,Thriller"
60832,tt15321376,movie,Jekyll and Hyde,2021,85,"Crime,Horror,Mystery"
60840,tt15500830,movie,Keawe,2004,\N,Drama
60841,tt15683874,movie,Hyde,2022,\N,"Crime,Drama,Horror"
60850,tt1659339,movie,Treasure Island,\N,\N,Adventure
60854,tt16994096,movie,The Strange Case of Dr Jekyll and Mr Hyde,2022,\N,Thriller
60893,tt2567606,movie,Waves,2012,71,Drama
60909,tt3132614,movie,Dr. Jekyll and Mr. Hyde,2017,83,"Horror,Sci-Fi"
60910,tt3281326,movie,The Man with Two Faces,2008,78,"Horror,Sci-Fi"
60927,tt4298784,movie,Olalla,2015,94,"Drama,Horror"
60928,tt4481340,movie,Treasure Island,2015,150,Adventure
60952,tt5338644,movie,Mrs. Hyde,2017,95,"Comedy,Drama,Sci-Fi"
60954,tt5494380,movie,Dr. Rock and Mr. Roll,1965,\N,"Comedy,Music"
60966,tt6159660,movie,Travels with a Donkey in the Cevennes,2015,81,"Adventure,Biography"
60967,tt6314158,movie,The Demon Within,\N,\N,"Crime,Drama,Mystery"
60975,tt6937706,movie,Treasure Canyon,\N,\N,Western
60976,tt7599018,movie,Jekyll & Hyde,\N,\N,"Drama,Horror,Musical"
60980,tt8098546,movie,Doraemon the Movie: Nobita's Treasure Island,2018,108,"Adventure,Animation,Comedy"
60983,tt0134796,movie,The Lost Manuscript,1974,45,\N
60986,tt4699130,movie,Saturday's Warrior,2016,120,Musical
61008,tt6336356,movie,Mary and the Witch's Flower,2017,103,"Adventure,Animation,Family"
61010,tt0238924,movie,The Dangerous Lives of Altar Boys,2002,104,"Comedy,Drama"
61011,tt13926132,movie,Ivy & Bean,2022,\N,"Action,Family"
61012,tt1403986,movie,My Wild Life,\N,\N,Drama
61016,tt4943322,movie,The Ottoman Lieutenant,2017,106,"Drama,War"
61024,tt9730454,movie,Fish in a Tree,\N,\N,Family
61027,tt1195490,movie,Opposite Day,\N,\N,Comedy
61028,tt1195494,movie,Step Dude,\N,\N,Comedy
61029,tt1320261,movie,Gulliver's Travels,2010,85,"Adventure,Comedy,Family"
61030,tt1608290,movie,Zoolander 2,2016,101,"Action,Adventure,Comedy"
61031,tt1956620,movie,Sex Tape,2014,94,"Comedy,Romance"
61032,tt2091256,movie,Captain Underpants: The First Epic Movie,2017,89,"Action,Adventure,Animation"
61033,tt2292778,movie,Aloha,\N,\N,Comedy
61034,tt4218708,movie,Untitled Tinker Bell Project,\N,\N,"Adventure,Comedy"
61069,tt6781982,movie,Night School,2018,111,Comedy
61074,tt0096978,movie,Brenda Starr,1989,93,"Adventure,Comedy,Romance"
61108,tt0493306,movie,Stanley's Dinosaur Round-Up,2006,71,"Animation,Family,Western"
61175,tt4766102,movie,Noodles,\N,\N,Animation
61180,tt0029322,movie,Nothing Sacred,1937,77,"Comedy,Drama,Fantasy"
61181,tt0040861,movie,Tap Roots,1948,109,"Drama,Romance,War"
61185,tt0191074,movie,New Best Friend,2002,91,"Drama,Mystery,Thriller"
61200,tt1822166,movie,Apostles of Infinite Love,\N,\N,Comedy
