,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
250,nm0000229,director,Steven Spielberg,1946.0,tt3581652,director,West Side Story,156.0,"Crime,Drama,Musical",PG-13,2021-12-10,2021.0,12.0,10.0,Friday,100000000.0,75744386.0,-0.24255614,7.4,54134.0,both,75.0
251,nm0000229,director,Steven Spielberg,1946.0,tt3682448,director,Bridge of Spies,142.0,"Drama,History,Thriller",PG-13,2015-10-16,2015.0,10.0,16.0,Friday,40000000.0,165478348.0,3.1369587,7.6,305032.0,both,69.0
252,nm0000229,director,Steven Spielberg,1946.0,tt3691740,director,The BFG,117.0,"Adventure,Family,Fantasy",PG,2016-07-01,2016.0,7.0,1.0,Friday,140000000.0,195243411.0,0.3945957928571428,6.4,84180.0,both,70.0
253,nm0000229,director,Steven Spielberg,1946.0,tt6294822,director,The Post,116.0,Drama,PG-13,2018-01-12,2017.0,1.0,12.0,Friday,50000000.0,180419276.0,2.60838552,7.2,147476.0,both,71.0
254,nm0000229,director,Steven Spielberg,1946.0,tt7763324,director,Amazing Stories,111.0,"Adventure,Fantasy,Sci-Fi",error,1986-07-10,1986.0,7.0,10.0,Thursday,0.0,0.0,,7.2,627.0,both,40.0
260,nm0000318,director,Tim Burton,1958.0,tt0089791,director,Pee-wee's Big Adventure,91.0,"Adventure,Comedy,Family",PG,1985-08-09,1985.0,8.0,9.0,Friday,6000000.0,41047344.0,5.841224,7.0,52423.0,both,27.0
261,nm0000318,director,Tim Burton,1958.0,tt0094721,director,Beetlejuice,92.0,"Comedy,Fantasy",PG,1988-03-30,1988.0,3.0,30.0,Wednesday,15000000.0,74714298.0,3.9809532,7.5,288563.0,both,30.0
262,nm0000318,director,Tim Burton,1958.0,tt0096895,director,Batman,126.0,"Action,Adventure",PG-13,1989-06-23,1989.0,6.0,23.0,Friday,35000000.0,411569241.0,10.759121171428571,7.5,366092.0,both,31.0
263,nm0000318,director,Tim Burton,1958.0,tt0099487,director,Edward Scissorhands,105.0,"Drama,Fantasy,Romance",PG-13,1990-12-14,1990.0,12.0,14.0,Friday,20000000.0,86024005.0,3.30120025,7.9,474214.0,both,32.0
264,nm0000318,director,Tim Burton,1958.0,tt0103776,director,Batman Returns,126.0,"Action,Crime,Fantasy",PG-13,1992-06-19,1992.0,6.0,19.0,Friday,80000000.0,266915287.0,2.3364410875,7.1,296355.0,both,34.0
265,nm0000318,director,Tim Burton,1958.0,tt0109707,director,Ed Wood,127.0,"Biography,Comedy,Drama",R,1994-10-07,1994.0,10.0,7.0,Friday,18000000.0,5887725.0,-0.6729041666666666,7.9,173320.0,both,36.0
266,nm0000318,director,Tim Burton,1958.0,tt0116996,director,Mars Attacks!,106.0,"Comedy,Sci-Fi",PG-13,1996-12-13,1996.0,12.0,13.0,Friday,70000000.0,101381197.0,0.4483028142857143,6.4,223164.0,both,38.0
267,nm0000318,director,Tim Burton,1958.0,tt0121164,director,Corpse Bride,77.0,"Animation,Drama,Family",PG,2005-09-23,2005.0,9.0,23.0,Friday,40000000.0,118133252.0,1.9533313,7.4,263172.0,both,47.0
