US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
2005,,Pooh's Heffalump Movie,,Animated feature,,,,,
2005,,The Pacifier,Spyglass Entertainment,Live Action,,,,,
2005,,Ice Princess,,Live Action,,,,,
2005,,Madagascar,,Animated feature,,,,,
2005,,Herbie: Fully Loaded,,Live Action,,,,,
2005,,Sky High,Gunn Films,Live Action,,,,,
2005,,Valiant,Vanguard Animation,Animated feature,,,,,
2004,,The Incredibles,Pixar Animation Studios,Animated feature,,,,,
2005,,The Greatest Game Ever Played,,Live Action,,,,,
2005,,Chicken Little,,Animated feature,,,,,
2005,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walden Media,Live Action,,,,,
2006,,Glory Road,Jerry Bruckheimer Films,Live Action,,,,,
2006,,Roving Mars,,Documentary,,,,,
2006,,Eight Below,Spyglass Entertainment,Live Action,,,,,
,,,Mandeville Films,Live Action,,,,,
2006,,Bambi II,,Animated feature,,,,,
2006,,The Shaggy Dog,Mandeville Films,Live Action,,,,,
2006,,The Wild,,Animated feature,,,,,
2006,,Cars,Pixar Animation Studios,Animated feature,,,,,
2006,,Pirates of the Caribbean: Dead Man's Chest,Jerry Bruckheimer Films,Live Action,,,,,
2006,,Invincible,Mayhem Pictures,Live Action,,,,,
2006,,The Upside Down Show: The Movie,Sesame Workshop,Live Action,,,,,
2007,,Bridge to Terabithia,Walden Media,Live Action,,,,,
2007,,Meet the Robinsons,,Animated feature,,,,,
2007,,Pirates of the Caribbean: At World's End,Jerry Bruckheimer Films,Live Action,,,,,
2007,,Ratatouille,Pixar Animation Studios,Animated feature,,,,,
2007,,Underdog,Spyglass Entertainment,Live Action,,,,,
,,,Classic Media,Live Action,,,,,
2007,,The Game Plan,,Live Action,,,,,
2007,,Enchanted,Right Coast Entertainment and Josephson Entertainment,Combines animation and live action,,,,,
2007,,National Treasure: Book of Secrets,Jerry Bruckheimer Films,Live Action,,,,,
2008,,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert 3D,PACE,Live Action,,,,,
2008,,College Road Trip,Gunn Films,Live Action,,,,,
2008,,Madagascar: Escape 2 Africa,Caravan Pictures,Animated feature,,,,,
2008,,The Chronicles of Narnia: Prince Caspian,Walden Media,Live Action,,,,,
2008,,WALL-E,Pixar Animation Studios,Animated feature,,,,,
2008,,Beverly Hills Chihuahua,Mandeville Films,Live Action,,,,,
2008,,Morning Light,,Documentary,,,,,
2008,,High School Musical 3: Senior Year,Borden and Rosenbush Entertainment,Live Action,,,,,
2008,,Roadside Romeo,Yash Raj Films,Animated feature,,,,,
2008,,Bolt,,Animated feature,,,,,
2008,,Bedtime Stories,Gunn Films,Live Action,,,,,
,,,Happy Madison,Live Action,,,,,
2009,,Jonas Brothers: The 3D Concert Experience 3D I3D,,Live Action,,,,,
2009,,Race to Witch Mountain,Gunn Films,Live Action,,,,,
2009,,Hannah Montana: The Movie,It's a Laugh Productions and Millar Gough Ink,Live Action,,,,,
2009,,The Boys: The Sherman Brothers' Story,"Crescendo Productions, Red Hour Films,",Documentary,,,,,
,,,and Traveling Light,Documentary,,,,,
2009,,Up 2D3D,Pixar Animation Studios,Animated feature,,,,,
2009,,G-Force,Jerry Bruckheimer Films,Live Action,,,,,
2009,,A Christmas Carol 2D3DI3D,ImageMovers Digital,Animated feature,,,,,
2009,,Old Dogs,Tapestry Films,Live Action,,,,,
2009,,The Princess and the Frog,,Animated feature,,,,,
2012,,Merida,Pixar Animation Studio,Combines animation and live action,,,,,
3/5/2010,,Alice in Wonderland,"The Zanuck Company, Roth Films, and Team Todd",Live Action,,,,,
4/22/2010,,Oceans,"Participant Media, Pathé, Gatetee Films, Canal+, France 2 Cinéma, France 3 Cinéma, Notro Films, JMH-TSR, France Télévisions, TPS Star, Centre National de la Cinématogrpahie, Procirep, Angoa-Agicoa Movies",True-Life Adventures / Disneynature documentary film,,,,,
5/28/2010,,Prince of Persia: The Sands of Time,Jerry Bruckheimer Films,Live Action,,,,,
6/18/2010,,Toy Story 3,Pixar Animation Studios,Animated,,,,,
7/14/2010,,The Sorcerer's Apprentice,"Jerry Bruckheimer Films, Saturn Films, and Broken Road Productions",Live Action,,,,,
8/13/2010,,Tales from Earthsea,Studio Ghibli,Animated,,,,,
9/21/2010,"August 13, 2010 (United Kingdom) / September 21, 2010 (DTV)",Tinker Bell and the Great Fairy Rescue,Disneytoon Studios,Animated,,,,,
9/7/2010,,The Crimson Wing: Mystery of the Flamingos,"Kudos Pictures, Kudos Film and Television, and Natural Light Films",True-Life Adventures / Disneynature documentary film,,,,,
10/8/2010,,Secretariat,Mayhem Pictures,Live Action,,,,,
10/8/2010,,Do Dooni Chaar ,"Planman Motion Pictures, Disney India, and Disney World Cinema",Live Action,,,,non-US Film,
11/24/2010,,Tangled,Walt Disney Animation Studios,Animated,,,,,
12/17/2010,,Tron: Legacy,Sean Bailey Productions,Live Action,,,,,
1/21/2011,,Anaganaga O Dheerudu ,"A Bellyful of Dreams Entertainment, Arka Media Works, Disney India, and Disney World Cinema",Live Action,,,,non-US Film,
2/1/2011,,Beverly Hills Chihuahua 2 ,,Live Action,Direct to video or streaming exclusive Disney+,,,,
2/17/2011,,Lilly the Witch: The Journey to Mandolan ,German film,Live Action,,,,non-US Film,
3/11/2011,,Mars Needs Moms,ImageMovers Digital,Animated,,,,,
4/22/2011,,Zokkomon ,"Disney India, and Disney World Cinema",Live Action,,,,non-US Film,
4/22/2011,,African Cats,Fothergill / Scholey Productions and Silverback Films,True-Life Adventures / Disneynature documentary film,,,,,
4/29/2011,,Prom,,Live Action,,,,,
5/20/2011,,Pirates of the Caribbean: On Stranger Tides,Jerry Bruckheimer Films,Live Action,,,,,
6/24/2011,,Cars 2,Pixar Animation Studios,Animated,,,,,
7/15/2011,,Winnie the Pooh,Walt Disney Animation Studios,Animated,,,,,
9/20/2011,,Spooky Buddies ,Key Pix Productions,Live Action,Direct to video or streaming exclusive Disney+,,,,
11/23/2011,,The Muppets,Mandeville Films,Live Action,,,,,
1/31/2012,,Treasure Buddies ,Key Pix Productions,Live Action,Direct to video or streaming exclusive Disney+,,,,
2/17/2012,,The Secret World of Arrietty,Studio Ghibli,Animated,,,,,
3/9/2012,,John Carter,,Live Action,,,,,
4/20/2012,,Chimpanzee,Great Ape Productions,True-Life Adventures / Disneynature documentary film,,,,,
5/25/2012,,Arjun: The Warrior Prince ,"Disney India, Disney World Cinema, and UTV Motion Pictures",Animated,,,,non-US Film,
6/22/2012,,Brave,Pixar Animation Studios,Animated,,,,,
8/15/2012,,The Odd Life of Timothy Green,"Monsterfoot Productions, and Scott Sanders Productions",Live Action,,,,,
10/23/2012,"August 16, 2012 (Ukraine) October 23, 2012 (DTV)",Secret of the Wings,Disneytoon Studios,Animated,,,,,
9/18/2012,,Beverly Hills Chihuahua 3: Viva la Fiesta! ,,Live Action,Direct to video or streaming exclusive Disney+,,,,
10/5/2012,,Frankenweenie,Tim Burton Productions,Animated,,,,,
11/2/2012,,Wreck-It Ralph,Walt Disney Animation Studios,Animated,,,,,
3/8/2013,,Oz the Great and Powerful,"Roth Films, and Curtis-Donen Productions",Live Action,,,,,
4/16/2013,,Wings of Life,Blacklight Films,True-Life Adventures / Disneynature documentary film,,,,,
6/21/2013,,Monsters University,Pixar Animation Studios,Animated,,,,,
7/3/2013,,The Lone Ranger,"Jerry Bruckheimer Films, Blind Wink, and Infinitum Nihil",Live Action,,,,,
8/9/2013,,Planes,DisneyToon Studios,Animated,,,,,
8/27/2013,,Super Buddies ,Key Pix Productions,Live Action,Direct to video or streaming exclusive Disney+,,,,
11/27/2013,,Frozen,Walt Disney Animation Studios,Animated,,,,,
12/13/2013,,Saving Mr. Banks,"BBC Films, Essential Media and Entertainment, Ruby Films, and Hopscotch Features",Live Action,,,,,
4/1/2014,"February 13, 2014 (Denmark) / April 1, 2014 (DTV)",The Pirate Fairy,Disneytoon Studios,Animated,,,,,
3/21/2014,,Muppets Most Wanted,Mandeville Films,Live Action,,,,,
4/18/2014,,Bears,Silverback Films,True-Life Adventures / Disneynature documentary film,,,,,
5/16/2014,,Million Dollar Arm,Roth Films and Mayhem Pictures,Live Action,,,,,
5/30/2014,,Maleficent,Roth Films,Live Action,,,,,
7/18/2014,,Planes: Fire & Rescue,DisneyToon Studios,Animated,,,,,
9/19/2014,,Khoobsurat ,"UTV Motion Pictures, Disney India, and Anil Kapoor Films",Live Action,,,,non-US Film,
10/10/2014,,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","21 Laps Entertainment, and The Jim Henson Company",Live Action,,,,,
11/7/2014,,Big Hero 6,Walt Disney Animation Studios,Animated,,,,,
12/25/2014,,Into the Woods,"Lucamar Productions, and Marc Platt Productions",Live Action,,,,,
2/20/2015,,"McFarland, USA",Mayhem Pictures,Live Action,,,,,
3/3/2015,,Tinker Bell and the Legend of the NeverBeast,Disneytoon Studios; final Disneytoon Studios film,Animated,,,,,
3/13/2015,,Cinderella,Genre Films,Live Action,,,,,
4/17/2015,,Monkey Kingdom,Silverback Films,True-Life Adventures / Disneynature documentary film,,,,,
5/22/2015,,Tomorrowland,A113 Productions,Live Action,,,,,
6/19/2015,,Inside Out,Pixar Animation Studios,Animated,,,,,
6/19/2015,,ABCD 2 ,"UTV Motion Pictures, and Disney India",Live Action,,,,non-US Film,
11/25/2015,,The Good Dinosaur,Pixar Animation Studios,Animated,,,,,
1/29/2016,,The Finest Hours,"Whitaker Entertainment, and Red Hawk Entertainment",Live Action,,,,,
3/4/2016,,Zootopia,Walt Disney Animation Studios,Animated,,,,,
4/15/2016,,The Jungle Book,Fairview Entertainment,Live Action,,,,,
5/6/2016,,Tini: The Movie ,Gloriamundi Producciones and Lapis Films,Live Action,,,,non-US Film,
5/27/2016,,Alice Through the Looking Glass,"Roth Films, Team Todd, and Tim Burton Productions",Live Action,,,,,
6/17/2016,,Finding Dory,Pixar Animation Studios,Animated,,,,,
7/1/2016,,The BFG,"Amblin Entertainment, Reliance Entertainment, Walden Media, and The Kennedy/Marshall Company",Live Action,,,,,
8/12/2016,,Pete's Dragon,Whitaker Entertainment,Live Action,,,,,
9/23/2016,,Queen of Katwe,"ESPN Films, Cine Mosaic, and Mirabai Films",Live Action,,,,,
11/23/2016,,Moana,Walt Disney Animation Studios,Animated,,,,,
12/6/2016,,Growing Up Wild,Silverback Films,True-Life Adventures / Disneynature documentary film,,,,,
12/21/2016,,Dangal ,"Disney India, UTV Motion Pictures, and Aamir Khan Productions",Live Action,,,,non-US Film,
2/15/2017,,L'Empereur - March of the Penguins 2: The Next Step,"Bonne Pioche Cinéma, Paprika Films, Wild-Touch Productions, OCS, France 3 Cinéma, and Hulu Originals",True-Life Adventures / Disneynature documentary film,,,,,
3/17/2017,,Beauty and the Beast,Mandeville Films,Live Action,,,,,
4/21/2017,,Born in China,"Shanghai Media Group, Chuan Films, and Brian Leith Productions",True-Life Adventures / Disneynature documentary film,,,,,
5/26/2017,,Pirates of the Caribbean: Dead Men Tell No Tales,Jerry Bruckheimer Films,Live Action,,,,,
6/16/2017,,Cars 3,Pixar Animation Studios,Animated,,,,,
6/30/2017,,Ghost of the Mountains,"Netflix Original Documentaries, and Brian Leith Productions",True-Life Adventures / Disneynature documentary film,,,,,
7/14/2017,,Jagga Jasoos ,"Disney India, UTV Motion Pictures, Picture Shuru Entertainment, and Ishana Movies",Live Action,,,,non-US Film,
10/29/2017,,The Last Warrior ,"Russian film; Yellow, Black & White",Live Action,,,,non-US Film,
11/22/2017,,Coco,Pixar Animation Studios,Animated,,,,,
